arm,label,prompt,pipeline,corpus,metric,run1,run2,run3,mean,std,cv_pct,n
A,Raw,naive,none,hipe2020-fr,pm_strict,0.4659,0.4796,0.4625,0.4694,0.009,1.926,3
A,Raw,naive,none,hipe2020-fr,pm_relaxed,0.5777,0.5923,0.5687,0.5796,0.0119,2.061,3
A,Raw,naive,none,hipe2020-fr,ent_relaxed,0.6254,0.6404,0.6131,0.6263,0.0137,2.188,3
A,Raw,naive,none,conll2003-en,pm_strict,0.8826,0.8618,0.8548,0.8664,0.0144,1.667,3
A,Raw,naive,none,conll2003-en,pm_relaxed,0.8988,0.878,0.8871,0.888,0.0104,1.171,3
A,Raw,naive,none,conll2003-en,ent_relaxed,0.9061,0.8852,0.8943,0.8952,0.0105,1.169,3
B,Pipeline-only,naive,full,hipe2020-fr,pm_strict,0.4306,0.4449,0.4393,0.4383,0.0072,1.643,3
B,Pipeline-only,naive,full,hipe2020-fr,pm_relaxed,0.5685,0.5833,0.5603,0.5707,0.0116,2.041,3
B,Pipeline-only,naive,full,hipe2020-fr,ent_relaxed,0.6109,0.6261,0.602,0.613,0.0122,1.985,3
B,Pipeline-only,naive,full,conll2003-en,pm_strict,0.9098,0.877,0.878,0.8883,0.0186,2.099,3
B,Pipeline-only,naive,full,conll2003-en,pm_relaxed,0.9098,0.8852,0.8943,0.8965,0.0124,1.387,3
B,Pipeline-only,naive,full,conll2003-en,ent_relaxed,0.9136,0.8889,0.898,0.9001,0.0125,1.388,3
C,Prompt-only,structured,none,hipe2020-fr,pm_strict,0.6092,0.6206,0.6112,0.6137,0.0061,0.998,3
C,Prompt-only,structured,none,hipe2020-fr,pm_relaxed,0.8228,0.8227,0.8174,0.821,0.0031,0.376,3
C,Prompt-only,structured,none,hipe2020-fr,ent_relaxed,0.8745,0.8754,0.8724,0.8741,0.0015,0.175,3
C,Prompt-only,structured,none,conll2003-en,pm_strict,0.907,0.9035,0.9035,0.9046,0.002,0.223,3
C,Prompt-only,structured,none,conll2003-en,pm_relaxed,0.9225,0.9189,0.9189,0.9201,0.0021,0.223,3
C,Prompt-only,structured,none,conll2003-en,ent_relaxed,0.9261,0.9225,0.9225,0.9237,0.0021,0.224,3
D,Full,structured,full,hipe2020-fr,pm_strict,0.615,0.6103,0.6138,0.613,0.0024,0.394,3
D,Full,structured,full,hipe2020-fr,pm_relaxed,0.8215,0.817,0.8166,0.8184,0.0027,0.33,3
D,Full,structured,full,hipe2020-fr,ent_relaxed,0.8682,0.8633,0.8629,0.8648,0.0029,0.337,3
D,Full,structured,full,conll2003-en,pm_strict,0.8984,0.9105,0.9062,0.9051,0.0061,0.676,3
D,Full,structured,full,conll2003-en,pm_relaxed,0.9219,0.9261,0.9219,0.9233,0.0024,0.262,3
D,Full,structured,full,conll2003-en,ent_relaxed,0.9255,0.9297,0.9255,0.9269,0.0024,0.261,3
