corpus,arm,arm_label,prompt_id,pipeline,metric,run,value,status
hipe2020-fr,A,Raw,naive,none,pm_strict,1,0.4659,measured
hipe2020-fr,A,Raw,naive,none,pm_strict,2,0.4796,measured
hipe2020-fr,A,Raw,naive,none,pm_strict,3,0.4625,measured
hipe2020-fr,A,Raw,naive,none,pm_relaxed,1,0.5777,measured
hipe2020-fr,A,Raw,naive,none,pm_relaxed,2,0.5923,measured
hipe2020-fr,A,Raw,naive,none,pm_relaxed,3,0.5687,measured
hipe2020-fr,A,Raw,naive,none,ent_relaxed,1,0.6254,measured
hipe2020-fr,A,Raw,naive,none,ent_relaxed,2,0.6404,measured
hipe2020-fr,A,Raw,naive,none,ent_relaxed,3,0.6131,measured
conll2003-en,A,Raw,naive,none,pm_strict,1,0.8826,measured
conll2003-en,A,Raw,naive,none,pm_strict,2,0.8618,measured
conll2003-en,A,Raw,naive,none,pm_strict,3,0.8548,measured
conll2003-en,A,Raw,naive,none,pm_relaxed,1,0.8988,measured
conll2003-en,A,Raw,naive,none,pm_relaxed,2,0.878,measured
conll2003-en,A,Raw,naive,none,pm_relaxed,3,0.8871,measured
conll2003-en,A,Raw,naive,none,ent_relaxed,1,0.9061,measured
conll2003-en,A,Raw,naive,none,ent_relaxed,2,0.8852,measured
conll2003-en,A,Raw,naive,none,ent_relaxed,3,0.8943,measured
hipe2020-fr,B,Pipeline-only,naive,full,pm_strict,1,0.4306,measured
hipe2020-fr,B,Pipeline-only,naive,full,pm_strict,2,0.4449,measured
hipe2020-fr,B,Pipeline-only,naive,full,pm_strict,3,0.4393,measured
hipe2020-fr,B,Pipeline-only,naive,full,pm_relaxed,1,0.5685,measured
hipe2020-fr,B,Pipeline-only,naive,full,pm_relaxed,2,0.5833,measured
hipe2020-fr,B,Pipeline-only,naive,full,pm_relaxed,3,0.5603,measured
hipe2020-fr,B,Pipeline-only,naive,full,ent_relaxed,1,0.6109,measured
hipe2020-fr,B,Pipeline-only,naive,full,ent_relaxed,2,0.6261,measured
hipe2020-fr,B,Pipeline-only,naive,full,ent_relaxed,3,0.602,measured
conll2003-en,B,Pipeline-only,naive,full,pm_strict,1,0.9098,measured
conll2003-en,B,Pipeline-only,naive,full,pm_strict,2,0.877,measured
conll2003-en,B,Pipeline-only,naive,full,pm_strict,3,0.878,measured
conll2003-en,B,Pipeline-only,naive,full,pm_relaxed,1,0.9098,measured
conll2003-en,B,Pipeline-only,naive,full,pm_relaxed,2,0.8852,measured
conll2003-en,B,Pipeline-only,naive,full,pm_relaxed,3,0.8943,measured
conll2003-en,B,Pipeline-only,naive,full,ent_relaxed,1,0.9136,measured
conll2003-en,B,Pipeline-only,naive,full,ent_relaxed,2,0.8889,measured
conll2003-en,B,Pipeline-only,naive,full,ent_relaxed,3,0.898,measured
hipe2020-fr,C,Prompt-only,structured,none,pm_strict,1,0.6092,measured
hipe2020-fr,C,Prompt-only,structured,none,pm_strict,2,0.6206,measured
hipe2020-fr,C,Prompt-only,structured,none,pm_strict,3,0.6112,measured
hipe2020-fr,C,Prompt-only,structured,none,pm_relaxed,1,0.8228,measured
hipe2020-fr,C,Prompt-only,structured,none,pm_relaxed,2,0.8227,measured
hipe2020-fr,C,Prompt-only,structured,none,pm_relaxed,3,0.8174,measured
hipe2020-fr,C,Prompt-only,structured,none,ent_relaxed,1,0.8745,measured
hipe2020-fr,C,Prompt-only,structured,none,ent_relaxed,2,0.8754,measured
hipe2020-fr,C,Prompt-only,structured,none,ent_relaxed,3,0.8724,measured
conll2003-en,C,Prompt-only,structured,none,pm_strict,1,0.907,measured
conll2003-en,C,Prompt-only,structured,none,pm_strict,2,0.9035,measured
conll2003-en,C,Prompt-only,structured,none,pm_strict,3,0.9035,measured
conll2003-en,C,Prompt-only,structured,none,pm_relaxed,1,0.9225,measured
conll2003-en,C,Prompt-only,structured,none,pm_relaxed,2,0.9189,measured
conll2003-en,C,Prompt-only,structured,none,pm_relaxed,3,0.9189,measured
conll2003-en,C,Prompt-only,structured,none,ent_relaxed,1,0.9261,measured
conll2003-en,C,Prompt-only,structured,none,ent_relaxed,2,0.9225,measured
conll2003-en,C,Prompt-only,structured,none,ent_relaxed,3,0.9225,measured
hipe2020-fr,D,Full,structured,full,pm_strict,1,0.615,measured
hipe2020-fr,D,Full,structured,full,pm_strict,2,0.6103,measured
hipe2020-fr,D,Full,structured,full,pm_strict,3,0.6138,measured
hipe2020-fr,D,Full,structured,full,pm_relaxed,1,0.8215,measured
hipe2020-fr,D,Full,structured,full,pm_relaxed,2,0.817,measured
hipe2020-fr,D,Full,structured,full,pm_relaxed,3,0.8166,measured
hipe2020-fr,D,Full,structured,full,ent_relaxed,1,0.8682,measured
hipe2020-fr,D,Full,structured,full,ent_relaxed,2,0.8633,measured
hipe2020-fr,D,Full,structured,full,ent_relaxed,3,0.8629,measured
conll2003-en,D,Full,structured,full,pm_strict,1,0.8984,measured
conll2003-en,D,Full,structured,full,pm_strict,2,0.9105,measured
conll2003-en,D,Full,structured,full,pm_strict,3,0.9062,measured
conll2003-en,D,Full,structured,full,pm_relaxed,1,0.9219,measured
conll2003-en,D,Full,structured,full,pm_relaxed,2,0.9261,measured
conll2003-en,D,Full,structured,full,pm_relaxed,3,0.9219,measured
conll2003-en,D,Full,structured,full,ent_relaxed,1,0.9255,measured
conll2003-en,D,Full,structured,full,ent_relaxed,2,0.9297,measured
