corpus,arm,metric,n,mean,sigma,cv_percent
hipe2020-fr,Raw,pm_strict,3,0.4694,0.009,1.926
hipe2020-fr,Raw,pm_relaxed,3,0.5796,0.0119,2.061
hipe2020-fr,Raw,ent_relaxed,3,0.6263,0.0137,2.188
conll2003-en,Raw,pm_strict,3,0.8664,0.0144,1.667
conll2003-en,Raw,pm_relaxed,3,0.888,0.0104,1.171
conll2003-en,Raw,ent_relaxed,3,0.8952,0.0105,1.169
hipe2020-fr,Pipeline-only,pm_strict,3,0.4383,0.0072,1.643
hipe2020-fr,Pipeline-only,pm_relaxed,3,0.5707,0.0116,2.041
hipe2020-fr,Pipeline-only,ent_relaxed,3,0.613,0.0122,1.985
conll2003-en,Pipeline-only,pm_strict,3,0.8883,0.0186,2.099
conll2003-en,Pipeline-only,pm_relaxed,3,0.8965,0.0124,1.387
conll2003-en,Pipeline-only,ent_relaxed,3,0.9001,0.0125,1.388
hipe2020-fr,Prompt-only,pm_strict,3,0.6137,0.0061,0.998
hipe2020-fr,Prompt-only,pm_relaxed,3,0.821,0.0031,0.376
hipe2020-fr,Prompt-only,ent_relaxed,3,0.8741,0.0015,0.175
conll2003-en,Prompt-only,pm_strict,3,0.9046,0.002,0.223
conll2003-en,Prompt-only,pm_relaxed,3,0.9201,0.0021,0.223
conll2003-en,Prompt-only,ent_relaxed,3,0.9237,0.0021,0.224
hipe2020-fr,Full,pm_strict,3,0.613,0.0024,0.394
hipe2020-fr,Full,pm_relaxed,3,0.8184,0.0027,0.33
hipe2020-fr,Full,ent_relaxed,3,0.8648,0.0029,0.337
conll2003-en,Full,pm_strict,3,0.9051,0.0061,0.676
conll2003-en,Full,pm_relaxed,3,0.9233,0.0024,0.262
conll2003-en,Full,ent_relaxed,3,0.9269,0.0024,0.261
europeana-fr-bnf,Raw,PMs,3,0.1544,0.0228,14.745
europeana-fr-bnf,Raw,PMr,3,0.2162,0.0312,14.42
europeana-fr-bnf,Raw,ENT,3,0.2365,0.0337,14.27
europeana-fr-bnf,Pipeline-only,PMs,3,0.1794,0.0269,14.976
europeana-fr-bnf,Pipeline-only,PMr,3,0.2098,0.0303,14.466
europeana-fr-bnf,Pipeline-only,ENT,3,0.2303,0.033,14.331
europeana-fr-bnf,Prompt-only,PMs,3,0.6472,0.0052,0.803
europeana-fr-bnf,Prompt-only,PMr,3,0.7365,0.0033,0.443
europeana-fr-bnf,Prompt-only,ENT,3,0.7874,0.0047,0.599
europeana-fr-bnf,Full,PMs,3,0.6558,0.0009,0.135
europeana-fr-bnf,Full,PMr,3,0.7344,0.0006,0.083
europeana-fr-bnf,Full,ENT,3,0.7798,0.0007,0.085
europeana-fr-bnf,C+denoise,PMs,3,0.637,0.0022,0.349
europeana-fr-bnf,C+denoise,PMr,3,0.7459,0.0007,0.098
europeana-fr-bnf,C+denoise,ENT,3,0.793,0.0013,0.163
europeana-fr-bnf,D+denoise,PMs,3,0.6318,0.0009,0.144
europeana-fr-bnf,D+denoise,PMr,3,0.7361,0.0026,0.349
europeana-fr-bnf,D+denoise,ENT,3,0.78,0.0024,0.31
europeana-fr-bnf,hmBERT,PMs,1,0.4599,0,0.0
europeana-fr-bnf,hmBERT,PMr,1,0.7839,0,0.0
europeana-fr-bnf,hmBERT,ENT,1,0.7679,0,0.0
europeana-fr-bnf,Claude raw,PMs,1,0.6715,0,0.0
europeana-fr-bnf,Claude raw,PMr,1,0.7554,0,0.0
europeana-fr-bnf,Claude raw,ENT,1,0.8419,0,0.0
